FID,Id,ORIG_FID,k26_60_1,k26_60_2,k26_60_3,k26_60_4,k26_60_5,k26_60_6,k26_60_7,k26_60_8,k26_60_9,k26_60_10,k26_60_11,k26_60_12
0,54006,13721,7.096189976,24.82629967,65.57700348,103.9020004,115.4990005,111.6169968,88.86640167,68.64640045,50.48519897,29.34009933,9.931220055,3.860090017
1,54007,13722,7.226500034,25.41640091,66.5789032,104.1230011,115.8639984,111.4960022,88.80010223,68.50039673,49.96559906,29.25379944,9.884679794,3.894459963
2,54012,13723,7.86605978,28.0970993,70.29229736,107.0410004,125.0540009,128.8410034,98.25769806,73.07019806,50.78409958,29.7595005,10.01970005,4.178979874
3,54013,13724,8.005350113,28.42140007,69.93769836,106.7559967,125.7419968,132.3809967,100.0510025,73.69599915,50.83549881,29.84390068,10.24779987,4.310669899
4,54014,13725,8.177249908,28.85779953,69.6140976,106.3820038,126.0110016,135.5579987,101.387001,74.14530182,50.86399841,29.97940063,10.53680038,4.428530216
5,54015,13726,8.360150337,29.57049942,70.50689697,106.7610016,125.8389969,136.2230072,102.1380005,74.19239807,50.61199951,30.03910065,10.75049973,4.554810047
6,54016,13727,8.440649986,29.77969933,71.02919769,107.322998,125.7770004,136.6049957,103.1470032,74.05899811,50.05749893,29.89520073,10.83790016,4.64880991
7,54017,13728,8.57820034,30.00959969,71.68800354,108.2460022,124.8539963,135.173996,102.4729996,73.47889709,49.41640091,29.64590073,10.90240002,4.754909992
8,54018,13729,8.888939857,30.61389923,72.53469849,108.2639999,121.5289993,131.253006,100.3970032,71.41280365,47.83029938,29.30879974,11.13630009,5.025010109
9,54019,13730,9.102160454,31.01300049,73.15129852,108.2360001,118.7050018,127.4240036,98.52140045,70.02189636,46.91320038,29.00769997,11.29520035,5.202139854
10,54020,13731,9.142160416,30.95849991,73.37090302,107.913002,117.038002,124.3509979,97.80400085,69.05960083,45.42039871,28.4022007,11.23359966,5.243810177
11,54021,13732,9.127790451,30.79070091,73.47940063,108.3560028,116.9940033,123.1080017,98.27700043,69.70120239,45.15829849,28.20890045,11.11190033,5.228750229
12,54022,13733,9.189869881,30.79879951,73.83869934,109.1809998,116.8669968,122.2249985,99.28170013,70.88739777,45.91659927,28.41819954,11.20590019,5.257619858
13,54023,13734,9.239640236,30.74889946,73.83660126,109.375,116.4169998,121.151001,99.7696991,71.68139648,46.59749985,28.67379951,11.34710026,5.290689945
14,54024,13735,9.26500988,30.66760063,73.64890289,109.2480011,116.211998,120.3000031,99.79039764,72.03230286,46.97829819,28.91830063,11.50370026,5.309279919
15,54025,13736,9.090709686,30.26269913,73.32900238,109.6100006,118.0110016,121.651001,101.223999,73.21949768,47.39960098,29.03739929,11.53999996,5.158800125
16,54026,13737,8.758009911,29.38669968,72.0923996,110.6279984,121.9059982,125.1620026,104.4469986,75.34169769,48.25170135,29.0965004,11.4946003,4.982419968
17,54027,13738,8.283459663,27.85160065,69.55729675,109.9550018,123.9660034,128.1119995,108.163002,78.30419922,49.22129822,29.0258007,11.25469971,4.739550114
18,54028,13739,7.939760208,26.60199928,67.19409943,109.0830002,126.1449966,132.3950043,113.1709976,81.54940033,50.61029816,28.92980003,10.82689953,4.484799862
19,54029,13740,7.91850996,26.15270042,66.10150146,109.0670013,128.276001,136.8829956,117.0199966,85.04090118,52.70479965,29.53450012,10.83950043,4.467319965
20,54030,13741,7.965509892,25.98679924,65.74759674,110.2249985,131.3500061,140.5370026,119.7979965,87.57119751,54.68849945,30.10950089,11.02600002,4.469439983
21,54031,13742,7.963319778,25.74550056,65.18109894,111.2559967,133.8130035,142.470993,120.2590027,88.29340363,55.56610107,30.07589912,11.14459991,4.41587019
22,54032,13743,7.836569786,25.34770012,63.80250168,110.7080002,135.7319946,144.6239929,120.7580032,88.50769806,55.56029892,29.45319939,11.01029968,4.289269924
23,54033,13744,7.815020084,25.22069931,62.97800064,110.564003,137.8769989,147.6419983,121.3420029,88.81169891,55.49330139,28.99909973,10.94569969,4.230420113
24,54034,13745,7.917560101,25.45639992,63.10359955,111.3889999,140.5449982,150.7180023,121.6669998,89.03469849,55.44660187,28.75189972,10.99520016,4.246880054
25,54035,13746,8.175230026,26.0503006,64.59559631,113.5429993,143.6300049,152.147995,121.1019974,88.41030121,55.10350037,28.78109932,11.24890041,4.382209778
26,54036,13747,8.381679535,26.66889954,66.16760254,115.9530029,146.9649963,154.1130066,120.9219971,87.37490082,54.23429871,28.40979958,11.36569977,4.486720085
27,54037,13748,8.521860123,27.18650055,67.32430267,117.9489975,151.1920013,158.8569946,124.314003,88.417099,54.81349945,28.6208992,11.46280003,4.553659916
28,54038,13749,8.662929535,27.77370071,68.707901,120.237999,156.7409973,167.3569946,131.2720032,91.72969818,56.66590118,29.24029922,11.53800011,4.602330208
29,54039,13750,8.834659576,28.35250092,69.97370148,122.651001,162.8309937,179.6920013,141.7830048,98.08200073,59.99710083,30.44449997,11.69540024,4.671760082
30,54040,13751,9.183639526,29.43980026,71.69689941,125.125,165.7160034,181.4940033,143.6340027,98.34290314,58.34930038,29.98180008,11.79329967,4.807940006
31,54041,13752,9.744379997,31.10519981,74.56680298,128.7180023,167.5429993,178.0130005,141.3690033,95.23400116,54.79150009,29.17950058,12.03520012,5.029409885
32,54042,13753,10.31000042,32.68590164,78.12249756,132.4810028,169.4450073,175.7709961,141.7819977,94.73069763,53.51539993,28.7723999,12.37080002,5.269989967
33,54043,13754,10.5401001,33.31980133,79.7201004,133.5769958,169.1670074,171.8040009,141.4279938,93.58560181,51.86299896,27.50869942,12.33100033,5.340330124
34,54044,13755,10.59729958,33.52280045,80.44090271,134.6580048,167.7299957,167.7619934,139.5420074,91.5786972,50.26839828,26.24300003,12.14089966,5.318970203
35,54045,13756,10.6718998,33.75630188,81.30999756,136.5410004,166.8280029,165.0460052,137.8999939,90.53980255,49.66989899,25.75399971,12.00090027,5.256599903
36,54046,13757,10.69159985,33.81200027,80.79679871,135.7389984,166.0359955,162.128006,135.9160004,89.72170258,49.60900116,25.75119972,11.96590042,5.248569965
37,54047,13758,10.5678997,33.38430023,79.42489624,133.6089935,164.4259949,159.3170013,134.0700073,88.20700073,49.44639969,25.7003994,11.82559967,5.187190056
38,54048,13759,10.59939957,33.5007019,79.27909851,133.5610046,164.1790009,157.2050018,133.3849945,87.78549957,49.80630112,26.02879906,11.92949963,5.246349812
39,54049,13760,10.7748003,34.08750153,80.38169861,136.2109985,165.6130066,156.7570038,135.1600037,89.28399658,51.15269852,26.97719955,12.20979977,5.408949852
40,54050,13761,10.87479973,34.34820175,80.31410217,135.923996,163.701004,157.2339935,137.8049927,91.38780212,52.63510132,27.97649956,12.40480042,5.545959949
41,54051,13762,10.94859982,34.55379868,80.15979767,134.576004,160.5420074,158.2160034,141.1589966,94.98719788,54.72589874,29.06369972,12.61639977,5.68088007
42,54052,13763,11.05790043,34.75059891,80.2036972,133.1889954,158.6340027,160.4790039,146.3070068,100.5950012,57.86669922,30.21409988,12.82820034,5.810569763
43,54053,13764,11.11240005,34.79230118,80.03690338,131.8470001,158.1139984,163.4440002,151.1999969,106.0299988,61.00260162,31.53639984,13.02760029,5.887849808
44,54054,13765,11.22649956,35.03030014,79.9464035,130.6840057,158.8049927,169.253006,157.3739929,112.2600021,64.60379791,33.16429901,13.33290005,5.976490021
45,54055,13766,11.27200031,35.19169998,79.77179718,129.8320007,159.4019928,174.9629974,162.9069977,117.4150009,67.97409821,34.31710052,13.58349991,6.011660099
46,54056,13767,11.32579994,35.2195015,79.35099792,129.1950073,161.0850067,181.3329926,169.3099976,122.9550018,71.59470367,35.34030151,13.80340004,6.058239937
47,54057,13768,11.49629974,35.77730179,80.66419983,131.0310059,165.0469971,186.9109955,175.0449982,127.7070007,74.8628006,36.28329849,14.06200027,6.147580147
48,54058,13769,11.66829967,36.44200134,82.645401,133.9400024,169.8820038,192.3789978,180.0050049,131.5639954,77.6242981,36.83670044,14.20759964,6.227759838
49,54059,13770,11.78190041,36.95019913,84.37480164,137.072998,174.8280029,197.6529999,183.7870026,134.3820038,79.90670013,37.12419891,14.21930027,6.291840076
50,54060,13771,11.85960007,37.38249969,85.56790161,139.5980072,178.2779999,201.1909943,185.4900055,135.1490021,81.39779663,37.25149918,14.20769978,6.331550121
51,54061,13772,11.90649986,37.83670044,86.58640289,141.904007,181.227005,204.4149933,187.279007,136.677002,82.83309937,37.15879822,14.15680027,6.339550018
52,54062,13773,11.89290047,38.00279999,87.03040314,143.3049927,183.1860046,206.9309998,188.8869934,138.2319946,83.77149963,37.00650024,14.00669956,6.316160202
53,54063,13774,11.88990021,38.02370071,87.70149994,143.8200073,183.7400055,208.4309998,190.223999,138.5950012,83.87349701,36.84640121,13.85879993,6.292890072
54,54064,13775,11.90890026,38.13460159,88.22519684,144.4570007,184.4029999,210.2700043,191.5449982,139.0269928,83.77020264,36.44990158,13.62880039,6.224080086
55,54065,13776,11.96889973,38.39670181,89.09069824,145.5469971,185.8650055,211.8329926,192.6730042,139.404007,83.74849701,36.23109818,13.48159981,6.192039967
56,54066,13777,12.03129959,38.36040115,89.2621994,146.0570068,186.6320038,212.5420074,192.9600067,139.2129974,83.14859772,35.87599945,13.39430046,6.179259777
57,54067,13778,12.21210003,38.69390106,90.23690033,147.0720062,187.5099945,212.7910004,192.5410004,138.7830048,82.80329895,35.75740051,13.49849987,6.246650219
58,54068,13779,12.40670013,39.18519974,91.39769745,147.7859955,187.9120026,212.8580017,191.9470062,138.5610046,82.55819702,35.58319855,13.63210011,6.340060234
59,54069,13780,12.57339954,39.69490051,92.53859711,148.0789948,187.9759979,212.9369965,191.4929962,138.6730042,82.13610077,35.26879883,13.69639969,6.427020073
60,54070,13781,12.66549969,40.06850052,93.37539673,148.6329956,188.3630066,213.0899963,191.2700043,138.625,81.1434021,34.50960159,13.44620037,6.343689919
61,54071,13782,12.71749973,40.24689865,93.59670258,148.9400024,188.0240021,212.1459961,190.1759949,137.5740051,79.87259674,33.91419983,13.4151001,6.346789837
62,54072,13783,12.7414999,40.32709885,93.40879822,148.8650055,187.1519928,210.1260071,188.098999,135.1730042,78.16500092,33.61220169,13.55490017,6.430799961
63,54073,13784,12.81729984,40.57189941,93.42279816,149.3029938,186.5970001,208.5160065,186.9649963,133.5059967,77.09780121,33.42639923,13.79629993,6.541100025
64,54074,13785,12.93190002,40.90570068,93.77429962,149.5189972,185.8549957,206.5209961,185.947998,132.0749969,76.21160126,33.58649826,14.07730007,6.634119987
65,54075,13786,13.05900002,41.29570007,94.55049896,150.4960022,185.8619995,204.7180023,185.3329926,131.5449982,75.73349762,33.79919815,14.3434,6.72495985
66,54076,13787,13.19610023,41.90579987,95.7059021,152.4049988,186.8549957,202.798996,184.9880066,131.0839996,75.30799866,34.12540054,14.60309982,6.830949783
67,54077,13788,13.22630024,42.19129944,96.3635025,153.6490021,187.5449982,200.8899994,183.8769989,129.6679993,74.90570068,34.13460159,14.68620014,6.885270119
68,54078,13789,13.27149963,42.45209885,96.97080231,154.4170074,187.3769989,199.1620026,183.1139984,128.4190063,74.81790161,34.02140045,14.74409962,6.953129768
69,54079,13790,13.34790039,42.73669815,97.3934021,155.0169983,186.5930023,197.5390015,182.3300018,127.4179993,74.83959961,33.90729904,14.7816,7.032760143
70,54080,13791,13.47119999,43.05799866,97.75730133,156.0930023,185.8630066,196.5570068,181.1260071,127.0559998,74.83159637,34.01589966,14.81840038,7.106339931
