OID,ID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8,VALUE_9,VALUE_10,VALUE_11,VALUE_12,VALUE_13,VALUE_14,VALUE_15,VALUE_16,VALUE_17
-1,12348,0,0,0,0,0,0,0,0,2000000,0,14000000,0,0,0,0,0,6896000000
-1,12349,29000000,1000000,0,0,4000000,0,0,0,84000000,56000000,501000000,0,0,0,12000000,0,6225000000
-1,12350,196000000,4000000,0,24000000,43000000,2000000,23000000,19000000,189000000,723000000,1212000000,1000000,0,0,65000000,47000000,4436000000
-1,12351,464000000,1000000,0,70000000,321000000,0,2000000,89000000,935000000,345000000,438000000,0,0,0,2000000,47000000,4198000000
-1,12352,572000000,25000000,0,83000000,193000000,0,0,165000000,828000000,111000000,334000000,0,0,0,0,20000000,4653000000
-1,12353,291000000,10000000,0,4000000,16000000,0,0,18000000,18000000,0,69000000,0,0,0,0,0,6486000000
-1,12706,3000000,2000000,0,1000000,2000000,0,0,0,2000000,37000000,196000000,0,0,0,0,0,6957000000
-1,12707,170000000,7000000,0,0,21000000,0,0,5000000,638000000,94000000,455000000,0,0,0,0,0,5885000000
-1,12708,617000000,9000000,0,10000000,111000000,5000000,7000000,44000000,1003000000,470000000,1411000000,0,0,0,31000000,73000000,3409000000
-1,12709,555000000,9000000,0,75000000,344000000,7000000,5000000,43000000,131000000,1117000000,1838000000,0,0,0,362000000,125000000,2589000000
-1,12710,218000000,2000000,0,592000000,677000000,2000000,9000000,200000000,436000000,1543000000,1077000000,0,0,0,434000000,307000000,1778000000
-1,12711,200000000,0,0,1402000000,676000000,0,2000000,181000000,884000000,2426000000,289000000,0,36000000,0,17000000,312000000,775000000
-1,12712,147000000,0,0,1622000000,281000000,0,0,1082000000,1394000000,1580000000,40000000,0,7000000,0,0,71000000,1051000000
-1,12713,510000000,18000000,0,983000000,154000000,0,0,1119000000,1035000000,273000000,27000000,0,0,0,0,2000000,3079000000
-1,12714,710000000,12000000,0,22000000,21000000,0,0,123000000,556000000,37000000,49000000,0,0,0,0,0,5745000000
-1,12715,198000000,7000000,0,9000000,0,0,0,85000000,17000000,57000000,62000000,0,0,0,0,0,6765000000
-1,12716,35000000,4000000,0,3000000,1000000,0,0,13000000,3000000,4000000,12000000,0,0,0,0,0,7200000000
-1,12938,0,0,0,0,0,0,0,0,62000000,0,56000000,0,0,0,0,0,7157000000
-1,13065,6000000,14000000,0,17000000,3000000,0,7000000,0,82000000,50000000,216000000,0,0,0,24000000,37000000,6916000000
-1,13066,133000000,3000000,0,0,9000000,5000000,3000000,2000000,314000000,778000000,1657000000,0,0,0,3000000,13000000,4376000000
-1,13067,1061000000,6000000,0,4000000,233000000,10000000,19000000,37000000,975000000,1155000000,1660000000,0,0,0,36000000,153000000,2023000000
-1,13068,947000000,10000000,0,617000000,1487000000,0,0,223000000,1457000000,301000000,154000000,0,0,0,1000000,14000000,2085000000
-1,13069,485000000,57000000,0,121000000,330000000,0,0,51000000,1457000000,212000000,73000000,0,48000000,0,0,1000000,4461000000
-1,13070,55000000,0,0,267000000,302000000,0,0,232000000,2777000000,2402000000,24000000,0,3000000,0,0,3000000,1307000000
-1,13071,0,0,0,31000000,1000000,0,0,2000000,1101000000,4834000000,30000000,0,12000000,0,0,114000000,1171000000
-1,13072,0,0,0,0,0,0,0,0,96000000,778000000,21000000,0,44000000,0,0,4000000,6429000000
-1,13424,1000000,0,0,0,0,0,0,0,5000000,0,19000000,0,0,0,0,0,7463000000
-1,13425,142000000,10000000,0,14000000,6000000,0,0,268000000,688000000,254000000,745000000,0,0,0,5000000,48000000,5386000000
-1,13426,889000000,12000000,0,0,96000000,4000000,17000000,196000000,1774000000,1040000000,938000000,0,0,0,41000000,47000000,2434000000
-1,13427,1174000000,8000000,0,288000000,1101000000,0,9000000,230000000,1695000000,704000000,571000000,0,0,0,10000000,94000000,1682000000
-1,13428,72000000,0,0,1088000000,303000000,0,0,28000000,1229000000,3415000000,66000000,0,0,0,0,37000000,1250000000
-1,13429,0,0,0,0,0,0,0,1000000,382000000,5333000000,109000000,0,15000000,0,0,4000000,1644000000
-1,13430,0,0,0,0,0,0,0,0,1351000000,3943000000,34000000,0,6000000,0,0,26000000,2206000000
-1,13431,0,0,0,0,0,0,0,0,671000000,2054000000,12000000,0,26000000,0,0,11000000,4714000000
-1,13669,0,6000000,0,0,0,0,0,0,15000000,0,85000000,0,0,0,0,0,7382000000
-1,13784,25000000,12000000,0,4000000,13000000,0,0,20000000,231000000,91000000,165000000,0,0,0,0,7000000,7112000000
-1,13785,439000000,2000000,0,2000000,33000000,3000000,7000000,384000000,1150000000,1083000000,689000000,0,0,0,14000000,65000000,3889000000
-1,13786,511000000,21000000,0,11000000,380000000,0,34000000,243000000,412000000,2157000000,1102000000,1000000,0,0,739000000,404000000,1665000000
-1,13787,230000000,23000000,0,333000000,561000000,5000000,0,111000000,1260000000,3698000000,195000000,0,16000000,0,8000000,133000000,1187000000
-1,13788,0,0,0,29000000,0,1000000,40000000,6000000,280000000,7303000000,10000000,0,0,0,0,6000000,5000000
-1,13789,0,0,0,0,0,38000000,874000000,0,0,6758000000,0,0,2000000,0,0,5000000,3000000
-1,13790,0,0,0,0,0,154000000,167000000,0,6000000,6859000000,20000000,0,55000000,0,0,50000000,449000000
-1,13791,0,0,0,0,0,0,0,0,2000000,522000000,6000000,0,2000000,0,0,10000000,7138000000
-1,14144,165000000,53000000,0,20000000,109000000,0,3000000,688000000,238000000,284000000,212000000,0,0,0,10000000,34000000,6056000000
-1,14145,730000000,46000000,0,0,164000000,32000000,10000000,1458000000,350000000,1566000000,553000000,0,0,0,56000000,71000000,2918000000
-1,14146,110000000,6000000,0,32000000,208000000,9000000,57000000,25000000,24000000,1223000000,627000000,2000000,0,0,3760000000,813000000,976000000
-1,14147,0,0,0,42000000,120000000,10000000,63000000,11000000,13000000,5801000000,80000000,0,9000000,0,2000000,724000000,1079000000
-1,14148,0,0,0,0,0,0,713000000,0,0,7065000000,0,0,0,0,0,90000000,4000000
-1,14149,0,0,0,0,0,75000000,4900000000,0,0,2814000000,0,0,0,0,0,83000000,0
-1,14150,0,0,0,0,0,49000000,1771000000,0,0,5428000000,1000000,0,3000000,0,0,168000000,534000000
-1,14151,0,0,0,0,0,1000000,3000000,0,0,1506000000,2000000,0,10000000,0,0,28000000,6322000000
-1,14152,0,0,0,0,0,0,0,0,0,14000000,0,0,0,0,0,2000000,7938000000
-1,14385,7000000,1000000,0,0,0,0,0,0,38000000,0,48000000,0,0,0,0,0,7778000000
-1,14386,27000000,18000000,0,12000000,0,0,0,0,127000000,0,281000000,0,0,0,0,0,7489000000
-1,14504,279000000,168000000,0,0,230000000,4000000,3000000,1206000000,159000000,699000000,294000000,0,0,0,0,19000000,5003000000
-1,14505,751000000,22000000,0,0,266000000,37000000,77000000,2220000000,387000000,1994000000,605000000,0,0,0,39000000,114000000,1636000000
-1,14506,49000000,5000000,0,4000000,49000000,5000000,77000000,35000000,8000000,734000000,312000000,0,0,0,5341000000,1055000000,390000000
-1,14507,1000000,0,0,60000000,101000000,0,336000000,1000000,0,5092000000,53000000,0,0,0,27000000,1055000000,1422000000
-1,14508,0,0,0,0,0,0,2449000000,0,1000000,5244000000,0,0,0,0,0,335000000,35000000
-1,14509,0,0,0,0,0,4000000,2360000000,0,2000000,5114000000,0,0,0,0,0,584000000,0
-1,14510,0,0,0,0,0,44000000,1482000000,0,0,6232000000,0,0,0,0,0,379000000,11000000
-1,14511,0,0,0,0,0,25000000,300000000,0,0,7288000000,1000000,0,18000000,0,0,303000000,129000000
-1,14512,0,0,0,0,0,13000000,72000000,0,0,2273000000,8000000,0,9000000,0,0,77000000,5696000000
-1,14648,0,0,0,0,0,0,1000000,0,105000000,226000000,386000000,3000000,25000000,0,120000000,275000000,6923000000
-1,14649,0,0,0,0,2000000,0,0,2000000,181000000,1341000000,731000000,2000000,0,0,357000000,1152000000,4380000000
-1,14650,0,0,0,3000000,0,0,0,0,515000000,629000000,144000000,0,0,0,0,228000000,6545000000
