OID,Id,ORIG_FID,dswrf1,dswrf2,dswrf3,dswrf4,dswrf5,dswrf6,dswrf7,dswrf8,dswrf9,dswrf10,dswrf11,dswrf12
0,53652,13470,25.10995102,65.36328125,137.686615,204.2232971,243.7432709,261.5899658,232.7399597,179.1199341,128.5899506,75.233284,31.00995064,14.98661995
1,53653,13471,24.92995262,64.86327362,135.4199524,200.8866272,242.2399597,262.4399414,233.7199554,180.0099487,129.7966003,74.93995667,30.71328545,14.84328651
2,53654,13472,24.92995262,64.86327362,135.4199524,200.8866272,242.2399597,262.4399414,233.7199554,180.0099487,129.7966003,74.93995667,30.71328545,14.84328651
3,53655,13473,24.57995224,63.92328262,133.0666046,198.8733063,242.8366394,264.0566406,236.7533264,182.259964,132.0466156,75.82328796,30.9832859,14.81995201
4,53656,13474,24.57995224,63.92328262,133.0666046,198.8733063,242.8366394,264.0566406,236.7533264,182.259964,132.0466156,75.82328796,30.9832859,14.81995201
5,53657,13475,24.0532856,62.5232811,130.646637,198.1666412,245.5632782,266.4499512,241.8399811,185.8766327,135.3266144,77.89995575,31.81328964,14.92662144
6,53658,13476,24.0532856,62.5232811,130.646637,198.1666412,245.5632782,266.4499512,241.8399811,185.8766327,135.3266144,77.89995575,31.81328964,14.92662144
7,53659,13477,24.21661949,61.76328659,129.7066193,199.8166046,246.289978,267.0399475,240.6599731,188.8366241,136.4099579,78.72328949,32.4666214,15.11661911
8,53660,13478,24.21661949,61.76328659,129.7066193,199.8166046,246.289978,267.0399475,240.6599731,188.8366241,136.4099579,78.72328949,32.4666214,15.11661911
9,53661,13479,25.51995468,64.8666153,135.9866028,211.9099731,257.0632935,274.5366211,246.6999512,196.7866364,140.2699585,82.26328278,34.32661819,15.92662048
10,53662,13480,27.99661636,71.80995178,149.4966125,234.4466095,277.8766479,288.9299927,259.9699707,209.719986,146.8966217,88.50662994,37.38662338,17.38661957
11,53663,13481,27.99661636,71.80995178,149.4966125,234.4466095,277.8766479,288.9299927,259.9699707,209.719986,146.8966217,88.50662994,37.38662338,17.38661957
12,53664,13482,27.80661583,71.76995087,149.1699524,233.3499298,290.0099182,303.6133118,265.3532715,214.0199585,149.3999481,90.68995667,37.86662292,17.32995224
