OID,Id,ORIG_FID,nbdsf1,nbdsf2,nbdsf3,nbdsf4,nbdsf5,nbdsf6,nbdsf7,nbdsf8,nbdsf9,nbdsf10,nbdsf11,nbdsf12
0,53652,13470,9.15328598,23.44328499,48.4266243,68.82994843,80.48995209,85.43994141,71.81328583,52.97995758,40.40328598,25.05661774,10.41995239,5.416620255
1,53653,13471,9.056619644,22.73995209,47.6399498,67.43662262,80.38329315,86.16661835,72.32994843,53.22661972,41.30662155,24.87995338,10.1932869,5.419953823
2,53654,13472,9.056619644,22.73995209,47.6399498,67.43662262,80.38329315,86.16661835,72.32994843,53.22661972,41.30662155,24.87995338,10.1932869,5.419953823
3,53655,13473,8.88328743,21.86995316,46.5699501,66.16661835,80.57995605,87.11994171,73.66661072,54.04328156,42.69661331,25.3332901,10.33662033,5.449953556
4,53656,13474,8.88328743,21.86995316,46.5699501,66.16661835,80.57995605,87.11994171,73.66661072,54.04328156,42.69661331,25.3332901,10.33662033,5.449953556
5,53657,13475,8.613286972,20.82328606,45.21328354,65.06995392,81.09327698,88.27993774,75.86994934,55.44995117,44.58662415,26.38328934,10.78995419,5.539953709
6,53658,13476,8.613286972,20.82328606,45.21328354,65.06995392,81.09327698,88.27993774,75.86994934,55.44995117,44.58662415,26.38328934,10.78995419,5.539953709
7,53659,13477,8.716620445,20.51995277,45.01662064,65.66995239,81.37329102,88.95995331,75.55329895,56.8899498,44.87329102,26.42662239,11.12662125,5.60328722
8,53660,13478,8.716620445,20.51995277,45.01662064,65.66995239,81.37329102,88.95995331,75.55329895,56.8899498,44.87329102,26.42662239,11.12662125,5.60328722
9,53661,13479,9.436619759,21.86995316,48.12329102,70.30327606,86.08994293,91.85662079,77.93328094,60.49662018,46.79994202,28.12994957,12.04661751,6.053286552
10,53662,13480,10.76661968,24.84328651,54.51328278,79.02662659,95.20661163,97.01995087,83.02328491,66.27328491,50.34996033,31.44661713,13.51328659,6.933286667
11,53663,13481,10.76661968,24.84328651,54.51328278,79.02662659,95.20661163,97.01995087,83.02328491,66.27328491,50.34996033,31.44661713,13.51328659,6.933286667
12,53664,13482,10.65328598,24.68328476,54.38661957,77.51995087,96.30661774,99.5999527,84.21660614,67.75995636,50.97994232,31.67661285,13.60661697,6.7932868
13,53665,13483,10.65328598,24.68328476,54.38661957,77.51995087,96.30661774,99.5999527,84.21660614,67.75995636,50.97994232,31.67661285,13.60661697,6.7932868
14,53666,13484,9.859954834,22.84662056,50.89994812,72.65995789,92.91995239,97.64994049,82.38993835,66.68328857,49.66661835,30.13327789,12.90995312,6.223287106
15,53667,13485,9.859954834,22.84662056,50.89994812,72.65995789,92.91995239,97.64994049,82.38993835,66.68328857,49.66661835,30.13327789,12.90995312,6.223287106
16,53668,13486,8.423287392,19.33328438,44.00328827,64.45328522,85.01993561,91.13996124,77.55327606,63.03995132,46.41661453,26.85662079,11.46661854,5.249954224
17,53669,13487,8.423287392,19.33328438,44.00328827,64.45328522,85.01993561,91.13996124,77.55327606,63.03995132,46.41661453,26.85662079,11.46661854,5.249954224
18,53670,13488,7.939954281,17.95661736,41.84328842,62.15995026,81.67329407,89.50995636,77.28994751,62.01995468,44.92328644,25.25995445,10.88995361,4.869953632
19,53671,13489,7.939954281,17.95661736,41.84328842,62.15995026,81.67329407,89.50995636,77.28994751,62.01995468,44.92328644,25.25995445,10.88995361,4.869953632
20,53672,13490,7.579954147,17.25328636,40.49661636,61.00995636,79.59994507,88.59661102,77.22661591,61.46327972,43.62328339,24.22995377,10.4632864,4.619952679
21,53673,13491,7.579954147,17.25328636,40.49661636,61.00995636,79.59994507,88.59661102,77.22661591,61.46327972,43.62328339,24.22995377,10.4632864,4.619952679
22,53675,13492,7.329954624,17.26995468,39.97327805,61.00660706,78.82662964,88.4233017,77.33661652,61.42662048,42.57995605,23.76328468,10.26661968,4.496620178
23,53676,13493,6.949954033,17.32995415,39.42662048,61.19662857,78.85661316,88.23661041,77.9132843,61.28661728,41.59328079,23.10328484,10.10328674,4.276620388
24,53678,13494,6.709953308,17.50995445,39.48994446,62.46995163,80.91661072,89.99996948,80.33994293,62.38662338,41.1932869,22.73995399,9.976620674,4.106619835
25,53679,13495,6.626619816,17.80661964,40.20661545,64.81996155,84.95996094,93.68661499,84.59661102,64.71995544,41.38995361,22.67995262,9.946619034,3.96995306
26,53680,13496,6.626619816,17.80661964,40.20661545,64.81996155,84.95996094,93.68661499,84.59661102,64.71995544,41.38995361,22.67995262,9.946619034,3.96995306
27,53681,13497,6.159953117,17.07328606,37.97328568,63.71327972,84.31328583,92.07328033,83.6199646,64.14995575,39.56328583,21.42661667,9.203287125,3.609953403
28,53682,13498,6.159953117,17.07328606,37.97328568,63.71327972,84.31328583,92.07328033,83.6199646,64.14995575,39.56328583,21.42661667,9.203287125,3.609953403
29,53683,13499,6.093287468,17.12995338,36.95995331,64.26661682,84.71662903,91.87996674,83.60995483,64.27328491,38.68328476,20.5132885,8.773286819,3.399953365
30,53684,13500,6.093287468,17.12995338,36.95995331,64.26661682,84.71662903,91.87996674,83.60995483,64.27328491,38.68328476,20.5132885,8.773286819,3.399953365
31,53685,13501,6.43328619,17.88661957,37.10995102,66.42996216,86.14328766,93.1832962,84.54994965,65.10329437,38.75661469,19.9432869,8.649952888,3.45661974
32,53686,13502,6.43328619,17.88661957,37.10995102,66.42996216,86.14328766,93.1832962,84.54994965,65.10329437,38.75661469,19.9432869,8.649952888,3.45661974
33,53687,13503,6.643286228,18.42661858,37.42328644,68.04662323,87.74329376,94.97663116,83.96328735,65.55329132,39.08662033,19.59995461,8.736619949,3.739953041
34,53688,13504,6.643286228,18.42661858,37.42328644,68.04662323,87.74329376,94.97663116,83.96328735,65.55329132,39.08662033,19.59995461,8.736619949,3.739953041
35,53689,13505,7.466620922,20.4832859,40.5066185,72.55995178,91.29994965,97.71329498,84.74662781,67.48995972,41.48662567,21.16662025,9.593286514,4.419953346
36,53690,13506,7.466620922,20.4832859,40.5066185,72.55995178,91.29994965,97.71329498,84.74662781,67.48995972,41.48662567,21.16662025,9.593286514,4.419953346
37,53691,13507,8.899953842,24.06328583,46.35328293,79.9332962,96.84329224,101.3732834,86.90661621,70.92662048,45.99328613,24.68328667,11.23995399,5.553287029
38,53692,13508,9.663287163,25.59328842,49.27662277,81.75327301,98.49329376,103.9266205,88.58995819,73.34996033,48.7966156,26.89328575,12.26661968,6.256620407
39,53693,13509,9.663287163,25.59328842,49.27662277,81.75327301,98.49329376,103.9266205,88.58995819,73.34996033,48.7966156,26.89328575,12.26661968,6.256620407
40,53694,13510,9.74995327,25.39661789,48.88328934,80.24994659,96.97327423,103.2066269,88.63661194,74.11662292,50.28328323,27.7566185,12.43662071,6.466619015
41,53695,13511,9.74995327,25.39661789,48.88328934,80.24994659,96.97327423,103.2066269,88.63661194,74.11662292,50.28328323,27.7566185,12.43662071,6.466619015
42,53696,13512,9.156620026,23.46995735,45.18329239,75.43994904,92.29328156,99.21995544,87.02661896,73.22994995,50.43994904,27.27328491,11.7599535,6.139953613
43,53697,13513,9.156620026,23.46995735,45.18329239,75.43994904,92.29328156,99.21995544,87.02661896,73.22994995,50.43994904,27.27328491,11.7599535,6.139953613
44,53698,13514,8.796620369,22.3732872,43.43662262,73.46328735,90.62329102,96.80327606,86.36327362,72.07662201,49.96995163,26.75328827,11.38662052,5.989953995
45,53699,13515,8.796620369,22.3732872,43.43662262,73.46328735,90.62329102,96.80327606,86.36327362,72.07662201,49.96995163,26.75328827,11.38662052,5.989953995
46,53700,13516,9.02995491,22.61328316,44.44327927,74.05995178,91.66661835,97.12998199,87.34993744,72.08662415,50.26995468,26.77328682,11.63328648,6.216620445
47,53701,13517,9.02995491,22.61328316,44.44327927,74.05995178,91.66661835,97.12998199,87.34993744,72.08662415,50.26995468,26.77328682,11.63328648,6.216620445
48,53702,13518,9.839953423,24.21662331,48.22328568,77.25661469,95.47661591,100.2166367,90.01328278,73.31995392,51.30994797,27.30994987,12.50995255,6.796620369
49,53703,13519,9.839953423,24.21662331,48.22328568,77.25661469,95.47661591,100.2166367,90.01328278,73.31995392,51.30994797,27.30994987,12.50995255,6.796620369
