OID,Id,ORIG_FID,nddsf1,nddsf2,nddsf3,nddsf4,nddsf5,nddsf6,nddsf7,nddsf8,nddsf9,nddsf10,nddsf11,nddsf12
0,53652,13470,4.303285599,9.976620674,16.91328621,25.64661598,29.04328346,29.38995552,28.22662354,24.56328392,16.87662125,10.03328514,5.313286781,3.186619282
1,53653,13471,4.429952621,10.06661987,16.74662018,25.2166214,28.45328903,29.08328438,28.20328331,24.44995499,16.61328506,9.926618576,5.446619511,3.303286076
2,53654,13472,4.429952621,10.06661987,16.74662018,25.2166214,28.45328903,29.08328438,28.20328331,24.44995499,16.61328506,9.926618576,5.446619511,3.303286076
3,53655,13473,4.556619644,10.13661861,16.89995193,25.233284,28.43994904,28.89328766,28.28661728,24.40995407,16.51662064,9.869951248,5.523285866,3.419953108
4,53656,13474,4.556619644,10.13661861,16.89995193,25.233284,28.43994904,28.89328766,28.28661728,24.40995407,16.51662064,9.869951248,5.523285866,3.419953108
5,53657,13475,4.693285942,10.18328571,17.33995247,25.6866188,28.983284,28.85328484,28.47328568,24.42328453,16.52661896,9.876619339,5.599952698,3.503287077
6,53658,13476,4.693285942,10.18328571,17.33995247,25.6866188,28.983284,28.85328484,28.47328568,24.42328453,16.52661896,9.876619339,5.599952698,3.503287077
7,53659,13477,4.849952221,9.893286705,17.53661919,25.77662086,29.08328629,28.47995567,28.32995033,24.20662308,16.89328766,10.25328445,5.693286419,3.656619549
8,53660,13478,4.849952221,9.893286705,17.53661919,25.77662086,29.08328629,28.47995567,28.32995033,24.20662308,16.89328766,10.25328445,5.693286419,3.656619549
9,53661,13479,4.96995306,9.763286591,17.6932888,26.42328835,29.36328506,28.95662117,28.74661827,24.21328545,17.11661911,10.40328598,5.81662035,3.766619444
10,53662,13480,5.083287239,9.809952736,17.80661964,27.60328865,29.80661964,30.28995323,29.75995255,24.42662239,17.15328407,10.29328537,5.989953041,3.793285608
11,53663,13481,5.083287239,9.809952736,17.80661964,27.60328865,29.80661964,30.28995323,29.75995255,24.42662239,17.15328407,10.29328537,5.989953041,3.793285608
12,53664,13482,5.093286037,9.766618729,17.70328712,28.46995163,33.04328537,33.25328827,30.70328712,24.72661781,17.49661827,10.71661949,5.9632864,3.85995245
13,53665,13483,5.093286037,9.766618729,17.70328712,28.46995163,33.04328537,33.25328827,30.70328712,24.72661781,17.49661827,10.71661949,5.9632864,3.85995245
14,53666,13484,5.033287048,9.616618156,17.31661987,27.60995293,32.70994949,33.24328995,30.72661591,24.77661705,17.63995171,10.80661964,5.81662035,3.856619358
15,53667,13485,5.033287048,9.616618156,17.31661987,27.60995293,32.70994949,33.24328995,30.72661591,24.77661705,17.63995171,10.80661964,5.81662035,3.856619358
