OID,Id,ORIG_FID,vbdsf1,vbdsf2,vbdsf3,vbdsf4,vbdsf5,vbdsf6,vbdsf7,vbdsf8,vbdsf9,vbdsf10,vbdsf11,vbdsf12
0,53652,13470,2.846620798,12.58662224,34.3499527,56.11662674,72.27661896,80.89995575,69.73661804,50.07661819,34.40661621,17.09662056,4.416619778,1.203286886
1,53653,13471,2.806619883,12.26661968,33.83995056,55.27662277,72.44662476,81.85328674,70.46995544,50.40995407,35.23328781,16.97328568,4.279953957,1.173286796
2,53654,13472,2.806619883,12.26661968,33.83995056,55.27662277,72.44662476,81.85328674,70.46995544,50.40995407,35.23328781,16.97328568,4.279953957,1.173286796
3,53655,13473,2.753287077,11.83328724,33.12994766,54.53660965,72.82995605,82.9932785,71.96994781,51.26995087,36.40661621,17.21328735,4.296620369,1.173286796
4,53656,13474,2.753287077,11.83328724,33.12994766,54.53660965,72.82995605,82.9932785,71.96994781,51.26995087,36.40661621,17.21328735,4.296620369,1.173286796
5,53657,13475,2.673286915,11.31995201,32.17995453,53.88995361,73.41995239,84.33662415,74.23995972,52.61995316,37.92662048,17.8099556,4.476620674,1.183286667
6,53658,13476,2.673286915,11.31995201,32.17995453,53.88995361,73.41995239,84.33662415,74.23995972,52.61995316,37.92662048,17.8099556,4.476620674,1.183286667
7,53659,13477,2.696620226,11.11662006,31.87661552,54.3666153,73.60662079,85.05327606,73.96328735,53.99995041,38.07662201,17.65328598,4.576620579,1.186619997
8,53660,13478,2.696620226,11.11662006,31.87661552,54.3666153,73.60662079,85.05327606,73.96328735,53.99995041,38.07662201,17.65328598,4.576620579,1.186619997
9,53661,13479,2.913286924,11.84328556,33.87662125,58.0866127,77.66662598,87.72660828,76.233284,57.36328125,39.53328705,18.57995224,4.873287678,1.2932868
10,53662,13480,3.326620579,13.47995377,38.17328262,65.07328033,85.59329224,92.33995056,81.00328827,62.67995834,42.32661819,20.63328934,5.419953823,1.476620197
11,53663,13481,3.326620579,13.47995377,38.17328262,65.07328033,85.59329224,92.33995056,81.00328827,62.67995834,42.32661819,20.63328934,5.419953823,1.476620197
