OID,Id,ORIG_FID,vddsf1,vddsf2,vddsf3,vddsf4,vddsf5,vddsf6,vddsf7,vddsf8,vddsf9,vddsf10,vddsf11,vddsf12
0,53652,13470,12.44328594,26.70328522,43.86661911,59.8732872,66.50995636,69.6166153,66.5999527,57.07328033,42.56995392,28.03995514,15.08328342,8.72661972
1,53653,13471,12.59328556,26.55994987,43.55662155,58.64661407,65.6099472,69.61328888,66.76661682,56.96661758,42.71329117,27.84661865,15.09661961,8.873287201
2,53654,13472,12.59328556,26.55994987,43.55662155,58.64661407,65.6099472,69.61328888,66.76661682,56.96661758,42.71329117,27.84661865,15.09661961,8.873287201
3,53655,13473,12.64995193,26.1699543,43.30995178,58.11994934,65.70661926,69.68995667,67.17662811,56.95994949,42.87662506,27.8199501,15.29328728,9.036619186
4,53656,13474,12.64995193,26.1699543,43.30995178,58.11994934,65.70661926,69.68995667,67.17662811,56.95994949,42.87662506,27.8199501,15.29328728,9.036619186
5,53657,13475,12.61995125,25.53328514,43.17328644,58.25662613,66.76661682,69.80329132,67.84661102,57.06662369,43.05995178,27.96328354,15.66661739,9.206619263
6,53658,13476,12.61995125,25.53328514,43.17328644,58.25662613,66.76661682,69.80329132,67.84661102,57.06662369,43.05995178,27.96328354,15.66661739,9.206619263
7,53659,13477,12.82995415,24.80995369,43.04994965,58.5232811,67.03994751,69.65328979,67.6466217,57.00328827,43.68995285,28.52994919,15.94328499,9.376619339
8,53660,13478,12.82995415,24.80995369,43.04994965,58.5232811,67.03994751,69.65328979,67.6466217,57.00328827,43.68995285,28.52994919,15.94328499,9.376619339
9,53661,13479,13.55661869,25.47994995,44.82995224,61.61662292,68.75662231,71.10328674,68.58995056,57.58328629,44.05328751,29.29995155,16.69661903,9.873285294
10,53662,13480,14.79995251,27.50995064,48.50994873,67.50662231,71.9132843,74.18662262,70.65662384,58.77995682,44.16661835,30.23661995,17.89995384,10.68328571
11,53663,13481,14.79995251,27.50995064,48.50994873,67.50662231,71.9132843,74.18662262,70.65662384,58.77995682,44.16661835,30.23661995,17.89995384,10.68328571
12,53664,13482,14.82995415,27.44661713,48.64995575,68.45996094,79.50328827,81.69328308,73.12995148,59.99662781,45.48328018,32.30327988,18.24661636,10.71661854
13,53665,13483,14.82995415,27.44661713,48.64995575,68.45996094,79.50328827,81.69328308,73.12995148,59.99662781,45.48328018,32.30327988,18.24661636,10.71661854
14,53666,13484,14.19995117,26.19661903,46.47661972,65.31995392,78.65662384,81.76329041,73.2432785,60.28662109,45.98329163,32.16661453,17.6866169,10.29995251
15,53667,13485,14.19995117,26.19661903,46.47661972,65.31995392,78.65662384,81.76329041,73.2432785,60.28662109,45.98329163,32.16661453,17.6866169,10.29995251
16,53668,13486,12.92328358,23.75995255,41.97661591,58.06328583,69.41661835,74.40328217,70.99661255,59.59328842,45.65328598,29.88661766,16.21995163,9.429952621
17,53669,13487,12.92328358,23.75995255,41.97661591,58.06328583,69.41661835,74.40328217,70.99661255,59.59328842,45.65328598,29.88661766,16.21995163,9.429952621
18,53670,13488,12.63661671,23.51995277,41.34661865,58.23661804,70.24662018,74.6266098,72.56328583,59.90328598,45.61994934,29.95662117,15.90661812,9.126619339
19,53671,13489,12.63661671,23.51995277,41.34661865,58.23661804,70.24662018,74.6266098,72.56328583,59.90328598,45.61994934,29.95662117,15.90661812,9.126619339
20,53672,13490,12.38328552,23.55994797,41.14328384,58.779953,70.79994965,75.8599472,74.13661194,61.25994873,46.23661804,30.07327843,15.79661751,8.906619072
21,53673,13491,12.38328552,23.55994797,41.14328384,58.779953,70.79994965,75.8599472,74.13661194,61.25994873,46.23661804,30.07327843,15.79661751,8.906619072
22,53675,13492,12.21328449,23.91995239,41.40662384,59.71661377,71.09328461,78.08328247,75.74662018,63.69995499,47.51994705,30.26995277,15.9166193,8.759952545
23,53676,13493,12.40661812,24.7432785,42.15328598,61.5066185,72.90661621,78.62329102,75.45996094,64.0632782,48.18994904,31.53661728,16.21995163,8.616620064
24,53678,13494,12.46328545,25.46994972,42.80995178,62.69661713,73.50328827,78.04328918,75.07995605,64.43661499,48.42661667,32.16661835,16.37328529,8.459952354
25,53679,13495,12.39328384,26.14328384,43.34994888,63.28995132,72.87329102,76.34994507,74.63661957,64.78994751,48.21995163,32.13328552,16.47661591,8.356619835
26,53680,13496,12.39328384,26.14328384,43.34994888,63.28995132,72.87329102,76.34994507,74.63661957,64.78994751,48.21995163,32.13328552,16.47661591,8.356619835
27,53681,13497,12.28328609,26.52328682,43.97995758,64.28327942,73.69328308,76.81328583,73.68661499,65.04994965,48.17327881,32.36662292,16.46995163,8.126619339
28,53682,13498,12.28328609,26.52328682,43.97995758,64.28327942,73.69328308,76.81328583,73.68661499,65.04994965,48.17327881,32.36662292,16.46995163,8.126619339
29,53683,13499,12.79661846,28.6466198,47.79995346,69.77994537,79.83995819,80.4132843,75.63328552,67.2966156,50.22328568,34.10995102,17.20661736,8.239953041
30,53684,13500,12.79661846,28.6466198,47.79995346,69.77994537,79.83995819,80.4132843,75.63328552,67.2966156,50.22328568,34.10995102,17.20661736,8.239953041
31,53685,13501,13.96661854,32.49661636,54.80661392,79.78662109,91.3299408,87.11994934,80.43995667,71.55327606,54.40328217,37.37662125,18.70328522,8.766618729
32,53686,13502,13.96661854,32.49661636,54.80661392,79.78662109,91.3299408,87.11994934,80.43995667,71.55327606,54.40328217,37.37662125,18.70328522,8.766618729
33,53687,13503,14.10995007,32.91994858,55.07661438,80.21662903,92.87995148,90.34327698,83.34662628,73.85329437,56.38328552,38.85995102,18.9366169,8.993286133
34,53688,13504,14.10995007,32.91994858,55.07661438,80.21662903,92.87995148,90.34327698,83.34662628,73.85329437,56.38328552,38.85995102,18.9366169,8.993286133
35,53689,13505,14.279953,32.91661835,54.44662857,78.55329132,92.22994995,89.94995117,82.67995453,72.49661255,56.22662354,38.97661972,19.11995316,9.393283844
36,53690,13506,14.279953,32.91661835,54.44662857,78.55329132,92.22994995,89.94995117,82.67995453,72.49661255,56.22662354,38.97661972,19.11995316,9.393283844
37,53691,13507,14.48328686,32.47328568,52.86328888,74.83662415,89.37329102,85.98661041,78.4666214,67.57661438,53.9066124,37.70328903,19.22995377,9.933286667
38,53692,13508,14.526618,31.89662361,51.42327881,72.15995026,85.39994812,87.78995514,78.0466156,66.36994934,52.18328476,37.20661545,19.15995216,10.18661976
39,53693,13509,14.526618,31.89662361,51.42327881,72.15995026,85.39994812,87.78995514,78.0466156,66.36994934,52.18328476,37.20661545,19.15995216,10.18661976
40,53694,13510,14.50661755,31.48995399,51.19661331,70.22661591,80.62661743,84.92662048,76.03994751,65.10661316,50.09994888,35.46661758,18.92661858,10.34661865
41,53695,13511,14.50661755,31.48995399,51.19661331,70.22661591,80.62661743,84.92662048,76.03994751,65.10661316,50.09994888,35.46661758,18.92661858,10.34661865
42,53696,13512,14.45995235,31.28328323,52.19995499,69.05327606,74.97328949,77.41329193,72.4666214,63.75662994,47.65328598,32.49328995,18.55328178,10.35661888
43,53697,13513,14.45995235,31.28328323,52.19995499,69.05327606,74.97328949,77.41329193,72.4666214,63.75662994,47.65328598,32.49328995,18.55328178,10.35661888
44,53698,13514,14.3966198,30.78995132,52.5499649,67.60995483,72.72996521,75.99329376,72.3332901,63.27994919,46.79994583,31.30661583,18.40995026,10.40995216
45,53699,13515,14.3966198,30.78995132,52.5499649,67.60995483,72.72996521,75.99329376,72.3332901,63.27994919,46.79994583,31.30661583,18.40995026,10.40995216
46,53700,13516,14.45995235,30.15995026,52.34661484,66.59996033,71.45662689,75.16661072,72.68994904,62.91994858,46.28329086,30.51661873,18.35328293,10.50995255
47,53701,13517,14.45995235,30.15995026,52.34661484,66.59996033,71.45662689,75.16661072,72.68994904,62.91994858,46.28329086,30.51661873,18.35328293,10.50995255
48,53702,13518,14.63661671,29.37661934,51.56328583,66.00328827,71.15329742,74.92329407,73.53329468,62.67327118,46.10995865,30.13328362,18.39995384,10.67661953
49,53703,13519,14.63661671,29.37661934,51.56328583,66.00328827,71.15329742,74.92329407,73.53329468,62.67327118,46.10995865,30.13328362,18.39995384,10.67661953
50,53704,13520,14.776618,28.78994942,50.67328644,64.82994843,69.6466217,73.53993988,72.36662292,61.13662338,45.3499527,29.68994904,18.36328697,10.75328541
51,53705,13521,14.776618,28.78994942,50.67328644,64.82994843,69.6466217,73.53993988,72.36662292,61.13662338,45.3499527,29.68994904,18.36328697,10.75328541
52,53706,13522,14.68328667,28.0832901,49.66328049,63.70994949,68.34329224,72.75660706,71.32327271,60.1799469,44.89995575,29.79328156,18.00328636,10.62661839
53,53707,13523,14.32661915,27.30994987,48.5832901,62.6232872,67.24329376,72.5999527,70.4332962,59.8332901,44.75995636,30.43995285,17.33995438,10.30995178
54,53708,13524,14.32661915,27.30994987,48.5832901,62.6232872,67.24329376,72.5999527,70.4332962,59.8332901,44.75995636,30.43995285,17.33995438,10.30995178
55,53709,13525,14.68995094,28.04661751,50.42995071,66.37995148,70.35995483,73.01329041,70.41662598,60.07995605,44.85662079,31.29995346,17.85661888,10.54328632
56,53710,13526,14.68995094,28.04661751,50.42995071,66.37995148,70.35995483,73.01329041,70.41662598,60.07995605,44.85662079,31.29995346,17.85661888,10.54328632
57,53711,13527,14.8932848,28.46661568,51.7566185,69.04994965,73.4332962,74.18995667,70.88996124,60.63662338,45.23661804,31.93994713,18.12661934,10.61328506
58,53712,13528,14.8932848,28.46661568,51.7566185,69.04994965,73.4332962,74.18995667,70.88996124,60.63662338,45.23661804,31.93994713,18.12661934,10.61328506
59,53713,13529,14.89995193,28.57328415,52.54994965,70.61328888,76.48661804,76.12328339,71.83662415,61.49995041,45.87662125,32.34661865,18.14328575,10.51661968
60,53714,13530,14.89995193,28.57328415,52.54994965,70.61328888,76.48661804,76.12328339,71.83662415,61.49995041,45.87662125,32.34661865,18.14328575,10.51661968
61,53715,13531,14.85995197,28.52328491,52.41661835,70.81661987,78.37329102,77.26995087,72.10328674,61.51328659,46.07995224,32.63661575,18.15995216,10.46328449
62,53716,13532,14.85995197,28.52328491,52.41661835,70.81661987,78.37329102,77.26995087,72.10328674,61.51328659,46.07995224,32.63661575,18.15995216,10.46328449
63,53717,13533,14.76328564,28.48995399,51.95995712,70.87328339,79.01996613,78.16329193,72.50995636,61.71995163,45.91328049,32.83328629,18.17995071,10.34661961
64,53718,13534,14.76328564,28.48995399,51.95995712,70.87328339,79.01996613,78.16329193,72.50995636,61.71995163,45.91328049,32.83328629,18.17995071,10.34661961
65,53719,13535,14.62995338,28.50328827,51.15328598,70.78994751,78.42995453,78.83326721,73.05661774,62.11328125,45.35994339,32.92328644,18.17995262,10.1866188
66,53720,13536,14.62995338,28.50328827,51.15328598,70.78994751,78.42995453,78.83326721,73.05661774,62.11328125,45.35994339,32.92328644,18.17995262,10.1866188
67,53721,13537,14.38661766,28.49328423,49.8899498,71.03661346,78.35995483,78.52329254,72.62661743,61.39995193,44.73662186,33.21995163,18.16661835,9.876619339
68,53722,13538,14.03661823,28.30328178,48.70995331,70.75328827,78.14994812,78.09662628,72.19662476,60.97661591,44.24662018,33.2166214,17.99328804,9.53662014
69,53723,13539,14.03661823,28.30328178,48.70995331,70.75328827,78.14994812,78.09662628,72.19662476,60.97661591,44.24662018,33.2166214,17.99328804,9.53662014
70,53724,13540,13.55995178,27.99995613,47.60328293,69.95328522,77.80327606,77.60661316,71.78662109,60.84328461,43.92995071,32.92328262,17.62994957,9.126618385
71,53725,13541,13.55995178,27.99995613,47.60328293,69.95328522,77.80327606,77.60661316,71.78662109,60.84328461,43.92995071,32.92328262,17.62994957,9.126618385
72,53739,13542,14.20661831,31.47661781,53.00994873,76.45661926,83.74662018,78.87996674,68.35995483,57.59661865,42.59662247,27.02995682,14.19328594,9.206619263
73,53740,13543,14.20661831,31.47661781,53.00994873,76.45661926,83.74662018,78.87996674,68.35995483,57.59661865,42.59662247,27.02995682,14.19328594,9.206619263
74,53741,13544,14.39661884,31.63995171,53.61661911,76.49661255,83.33661652,77.41995239,67.72661591,57.14995956,42.64661789,26.85661507,14.16995049,9.013286591
75,53742,13545,14.39661884,31.63995171,53.61661911,76.49661255,83.33661652,77.41995239,67.72661591,57.14995956,42.64661789,26.85661507,14.16995049,9.013286591
76,53743,13546,13.90328693,29.43328285,49.63994598,70.57328796,81.79329681,78.53994751,68.64329529,57.77328873,43.66328049,30.09328842,16.44328499,9.746619225
77,53744,13547,13.90328693,29.43328285,49.63994598,70.57328796,81.79329681,78.53994751,68.64329529,57.77328873,43.66328049,30.09328842,16.44328499,9.746619225
78,53745,13548,13.6666193,27.98995399,47.33995056,66.76329041,80.60661316,78.94994354,68.95994568,58.07995224,44.1099472,31.38328743,17.49662018,10.10328484
79,53746,13549,13.6666193,27.98995399,47.33995056,66.76329041,80.60661316,78.94994354,68.95994568,58.07995224,44.1099472,31.38328743,17.49662018,10.10328484
80,53747,13550,13.64328861,27.25995255,46.71327972,65.10662079,79.7599411,78.70327759,68.67995453,58.03329086,43.98662567,30.75328636,17.29995155,10.09995365
81,53748,13551,13.64328861,27.25995255,46.71327972,65.10662079,79.7599411,78.70327759,68.67995453,58.03329086,43.98662567,30.75328636,17.29995155,10.09995365
82,53749,13552,14.44328594,28.11995316,49.08662796,68.1799469,82.20327759,83.48995209,70.81661987,57.91327667,44.15328217,30.59328461,17.4832859,10.46995068
83,53750,13553,14.44328594,28.11995316,49.08662796,68.1799469,82.20327759,83.48995209,70.81661987,57.91327667,44.15328217,30.59328461,17.4832859,10.46995068
84,53753,13554,14.736619,28.80328751,52.81328201,71.20996094,83.57328033,83.55661774,69.8666153,56.76995087,42.93328476,29.07995033,17.09661675,10.276618
85,53754,13555,14.86661911,28.75328827,53.10995102,72.16994476,84.21328735,84.59327698,71.12328339,57.14661789,43.62662506,30.29661942,17.10661888,10.33328533
86,53755,13556,14.86661911,28.75328827,53.10995102,72.16994476,84.21328735,84.59327698,71.12328339,57.14661789,43.62662506,30.29661942,17.10661888,10.33328533
87,53756,13557,15.09661961,29.05994797,53.92328644,73.19662476,82.95661163,83.11995697,71.19662476,57.45994949,44.4132843,30.17661476,16.60661888,10.13661766
88,53816,13558,11.4599514,23.16661835,36.13328934,51.64329147,61.81328583,67.83995056,64.80327606,57.64661789,42.27329254,28.10329056,14.91661739,7.906620502
89,53817,13559,11.4599514,23.16661835,36.13328934,51.64329147,61.81328583,67.83995056,64.80327606,57.64661789,42.27329254,28.10329056,14.91661739,7.906620502
90,53818,13560,11.35995197,23.32661247,35.92662048,51.72994614,61.97661972,67.55661774,64.90328979,58.18328476,42.1932869,28.19661522,14.90995121,7.746619225
91,53824,13561,11.28995323,23.82662201,36.75662613,52.66328812,62.97661209,69.51661682,67.35996246,59.52661896,42.95328903,28.5066185,15.02662086,7.863286018
92,53825,13562,11.28995323,23.82662201,36.75662613,52.66328812,62.97661209,69.51661682,67.35996246,59.52661896,42.95328903,28.5066185,15.02662086,7.863286018
93,53826,13563,11.68328667,24.59994888,38.31661606,54.51329041,64.96328735,72.42329407,69.85995483,61.1399498,44.57661819,29.41328621,15.51328468,8.349953651
94,53827,13564,12.12995243,25.74662018,40.58995056,58.53995514,69.51661682,77.21995544,73.03328705,62.28328323,46.10328674,30.59328461,16.11661911,8.779953003
95,53828,13565,12.12995243,25.74662018,40.58995056,58.53995514,69.51661682,77.21995544,73.03328705,62.28328323,46.10328674,30.59328461,16.11661911,8.779953003
96,53829,13566,12.50995255,26.39328194,41.84661865,60.45995712,71.23995972,78.21995544,73.62328339,62.47995758,47.08661652,31.01661873,16.4599514,9.119952202
97,53830,13567,12.50995255,26.39328194,41.84661865,60.45995712,71.23995972,78.21995544,73.62328339,62.47995758,47.08661652,31.01661873,16.4599514,9.119952202
98,53831,13568,12.78995132,26.49661827,42.10328293,60.24662018,70.16995239,75.41662598,71.64661407,61.75328445,47.54994965,30.66995239,16.58661842,9.363286018
99,53832,13569,12.78995132,26.49661827,42.10328293,60.24662018,70.16995239,75.41662598,71.64661407,61.75328445,47.54994965,30.66995239,16.58661842,9.363286018
100,53833,13570,13.27995205,27.60662079,43.529953,60.04661942,69.98661804,74.483284,72.58662415,61.9666214,46.96995163,28.54661942,15.94661617,9.659952164
101,53834,13571,13.27995205,27.60662079,43.529953,60.04661942,69.98661804,74.483284,72.58662415,61.9666214,46.96995163,28.54661942,15.94661617,9.659952164
102,53835,13572,13.22661877,27.20995522,43.49661636,58.85662079,68.29994965,73.17328644,71.89994049,61.3499527,46.46662521,27.66661644,15.48661709,9.589951515
103,53836,13573,13.22661877,27.20995522,43.49661636,58.85662079,68.29994965,73.17328644,71.89994049,61.3499527,46.46662521,27.66661644,15.48661709,9.589951515
104,53837,13574,12.6599493,25.32662201,41.97662354,56.65328598,65.14661407,71.43328094,69.60329437,59.91995621,46.06995773,27.96328545,15.23661804,9.136620522
105,53838,13575,12.6599493,25.32662201,41.97662354,56.65328598,65.14661407,71.43328094,69.60329437,59.91995621,46.06995773,27.96328545,15.23661804,9.136620522
106,53839,13576,12.42328548,24.1166153,40.97661209,53.92995834,64.14329529,71.34328461,69.58995056,59.20995331,45.95994949,28.29994965,15.37661934,9.09995079
107,53840,13577,12.42328548,24.1166153,40.97661209,53.92995834,64.14329529,71.34328461,69.58995056,59.20995331,45.95994949,28.29994965,15.37661934,9.09995079
